,fecha,prices_bitcoin,market_caps_bitcoin,total_volumes_bitcoin,prices_ethereum,market_caps_ethereum,total_volumes_ethereum,prices_binancecoin,market_caps_binancecoin,total_volumes_binancecoin,prices_cardano,market_caps_cardano,total_volumes_cardano,prices_dogecoin,market_caps_dogecoin,total_volumes_dogecoin,prices_solana,market_caps_solana,total_volumes_solana,prices_polkadot,market_caps_polkadot,total_volumes_polkadot,prices_matic-network,market_caps_matic-network,total_volumes_matic-network,prices_litecoin,market_caps_litecoin,total_volumes_litecoin,prices_ripple,market_caps_ripple,total_volumes_ripple
0,2020-01-01,7193.755,130422953817.668,18123516838.8979,130.485,14230588104.281237,6623732040.964472,13.686,2099316231.125117,184709056.80440834,0.033,1038897513.3254246,74867841.21535505,0.002,248529647.116573,38576914.81140906,,,,,,,0.015,38011240.15404401,20504313.050264783,41.606,2650379786.940752,1979757413.5385168,0.193,8341958972.432188,1043385828.1124829
1,2020-01-02,6963.853,126280790200.20206,20313194628.09452,127.045,13859793329.814827,6497297884.22486,13.007,1995647509.1802216,157356597.61545256,0.033,1015100628.6069512,63835282.138862886,0.002,247094892.42233893,46080313.169856794,,,,,,,0.015,37320199.772793815,26165156.1208537,39.414,2513232761.203657,1678103159.1729414,0.187,8125379010.023234,1082069170.5192986
2,2020-01-03,7300.347,132766262579.09486,31015776262.21867,133.703,14613194775.854177,9655245099.720835,13.603,2088116795.7714274,177239685.25572574,0.034,1060794465.0376961,79167959.06649704,0.002,251527987.79634985,40863740.2637823,,,,,,,0.015,38504502.59961709,14853329.299955897,41.991,2683016172.671081,2333782492.3913755,0.192,8347736588.237065,1276806150.4908261
3,2020-01-04,7351.377,133474716218.18333,20611640058.34164,134.137,14636213160.069315,6958393690.018681,13.795,2116144291.915908,169907478.42152599,0.034,1067105660.3890375,77918143.48363875,0.002,268594298.65203285,46196902.62503713,,,,,,,0.015,37828678.669587284,10536227.143296752,42.781,2727569539.430861,2085468681.6081836,0.193,8353409154.389953,987421522.1363721
4,2020-01-05,7349.972,133388991086.87987,21929224570.56102,135.006,14738834254.266087,7260645128.406949,14.006,2147450559.740196,183407548.10139453,0.034,1069729851.7474385,48833556.38398183,0.002,254259070.1197398,32539590.819854695,,,,,,,0.015,37675740.26234727,8289301.049226495,43.227,2754444566.012892,2498422925.5879364,0.194,8392968450.124307,1151983921.4447215
5,2020-01-06,7734.676,140557168287.4443,28148518761.51164,143.806,15692578635.119993,9514201882.396584,14.901,2290887105.200194,222341899.1044333,0.037,1150811966.6402338,77690490.90639412,0.002,261857064.67104656,38106371.073414624,,,,,,,0.016,39538911.01233434,16572957.203360556,45.695,2915710357.829009,2553854865.643269,0.219,9465463489.326942,2315410062.424789
6,2020-01-07,8147.415,147798610895.50055,34823187724.289955,143.019,15656491188.064734,9440938787.519835,14.97,2303435257.4222775,212354395.11205515,0.037,1151791408.0212848,109080768.02223112,0.002,275004935.79986775,43529571.27630211,,,,,,,0.015,38397277.41098742,17634284.497595046,46.327,2964692011.0358877,2892663220.047803,0.214,9305934111.59265,2246849401.0656867
7,2020-01-08,8045.789,146089575425.2795,39971512000.06816,140.274,15364547561.67077,10095847759.294762,14.499,2231554930.3303814,182170907.22937414,0.036,1130075028.1023777,97790326.68355764,0.002,267243278.20635143,43151513.171993494,,,,,,,0.015,38115516.091299884,16445247.717006003,45.202,2891096928.8105264,2791396416.0488086,0.208,9024811867.845201,1751818179.3607318
8,2020-01-09,7832.796,141913856953.47913,29276053440.88472,137.861,14998595868.023438,7280640218.292043,14.402,2202749503.6861596,186715078.23074365,0.036,1120025309.4730992,73078880.79386607,0.002,280642957.93576306,48004964.687259704,,,,,,,0.015,37035918.66985768,9688270.594499543,44.895,2852809770.3251224,2499015922.5955935,0.204,8789096375.417276,1375082672.979332
9,2020-01-10,8180.513,146879934259.3087,35777298156.26295,144.605,15647071448.436348,10273370788.312328,15.073,2298403615.7259774,205053226.0090087,0.037,1142315528.2269332,89615189.15475553,0.002,277319085.42168796,53435758.9843392,,,,,,,0.015,37892097.781866245,10134730.179811496,49.067,3106712669.048134,3224050087.629457,0.213,9152207373.444256,1715289860.970222
10,2020-01-11,8012.086,145561586658.57422,31504583511.03613,142.182,15564837467.520994,9737605323.282524,14.898,2290593279.156139,214306064.04047754,0.036,1140005583.9457119,103012026.66787285,0.002,274549041.47028416,60455962.13803458,,,,,,,0.015,37682542.76100747,8336806.476673441,49.211,3151133131.0728855,3567223735.248599,0.211,9174759874.804424,1616008355.0527637
11,2020-01-12,8171.401,148204228775.38776,27533390875.51989,145.423,15859031094.44091,8488793477.5950365,15.304,2347844996.5334334,210916688.70912793,0.037,1163393929.42041,94947456.45599155,0.002,278184999.84880733,52330281.75188446,,,,,,,0.015,38163919.757122084,6905039.184228297,50.997,3252025458.3740244,3268625614.003306,0.215,9309701295.480135,1497339722.9534612
12,2020-01-13,8110.648,147446058196.45944,27962176780.628242,143.588,15715287657.358463,8019794567.486078,15.163,2328371221.1582727,190567044.13822088,0.037,1149509789.462297,92974481.83741905,0.002,268905102.88047975,48689131.79398153,,,,,,,0.015,39440577.58129959,9769124.139215583,49.566,3166461606.815168,2778346081.4976273,0.212,9203081181.314354,1344392775.5026226
13,2020-01-14,8801.871,159481192213.82108,55384169405.51928,165.991,18075462340.568443,18970204899.197784,16.651,2546512800.3187695,256200729.81616852,0.041,1277612922.8592856,211070204.09448826,0.002,285915720.1525665,86813590.25639725,,,,,,,0.016,39982532.44294859,31941284.897729583,58.835,3751459376.7867517,4922572945.755792,0.233,10153845095.502394,2696981092.1720905
14,2020-01-15,8820.85,159960761751.8495,48160401007.254,166.253,18104742352.015366,17862385531.73745,17.66,2695653560.446619,363286199.19305456,0.042,1312253076.5911648,199275282.88421407,0.002,293219030.2143502,107025135.71837308,,,,,,,0.016,41523507.35281311,29508080.857449055,58.175,3704825023.528594,4827236010.700429,0.233,10123709179.009432,2536228717.563669
15,2020-01-16,8720.92,158412991117.64667,36462155571.2176,163.806,17869543294.566414,14605493158.53319,17.013,2603726452.038203,180942925.1164076,0.041,1286089923.7849808,137032057.20058483,0.002,287096649.09641534,79745346.96790454,,,,,,,0.016,40941909.40919569,22914523.241188373,57.574,3677471974.6937833,3604666158.9625134,0.229,9976223216.14577,2022448461.469136
16,2020-01-17,8902.569,161848747742.1508,41671910798.34088,171.156,18727969032.79025,15915322019.78247,18.067,2784697147.5543413,324691292.3556272,0.044,1387851754.2258596,170585164.39829364,0.002,298313408.1320623,98670907.34183109,,,,,,,0.019,47628917.29238809,72347444.68897879,61.678,3944890048.5995297,4249162761.9262424,0.237,10373376854.06169,2396388745.8834558
